id,manufacturer,model,speaker_type,enclosure_type,drivers,frequency_response_hz,sensitivity_db,impedance_ohm,recommended_amp_watt,max_power_watt,crossover_hz,width_mm,height_mm,depth_mm,weight_kg,terminals,magnetic_shielding,notes,release_year,category,created_at
1,Focal,Chorus V CC800V,Center,Bass Reflex,"2x 6.5\"" Polyglass + 1\"" TNV tweeter",50 Hz – 28 kHz,91,8,40–200 W,200,3000 Hz,580,190,300,12.0,Bi-wire,true,High-end Focal center speaker,2012,homeT,2026-01-24 09:22:10.352909+00
2,Focal,Aria CC900,Center,Bass Reflex,"2x 6.5\"" Flax + 1\"" tweeter",55 Hz – 28 kHz,91,8,50–200 W,200,2800 Hz,600,200,320,11.5,Bi-wire,true,Flax cone clarity,2016,homeT,2026-01-24 09:22:10.352909+00
3,Focal,Chora Center,Center,Bass Reflex,"2x 6.5\"" Slatefiber + 1\"" tweeter",60 Hz – 28 kHz,91,8,40–180 W,180,2800 Hz,540,180,300,10.5,Single,true,Modern slatefiber series,2020,homeT,2026-01-24 09:22:10.352909+00
4,Klipsch,RP-504C,Center,Bass Reflex,"4x 5.25\"" Cerametallic + 1\"" horn tweeter",58 Hz – 25 kHz,97,8,75–150 W,150,1500 Hz,810,170,350,15.0,Bi-wire,true,Extremely high sensitivity,2019,homeT,2026-01-24 09:22:10.352909+00
5,Klipsch,RP-404C,Center,Bass Reflex,"4x 4\"" Cerametallic + horn tweeter",59 Hz – 25 kHz,95,8,75–125 W,125,1500 Hz,650,160,330,13.5,Bi-wire,true,Compact but powerful,2018,homeT,2026-01-24 09:22:10.352909+00
6,DALI,Opticon Vokal,Center,Bass Reflex,"2x 6.5\"" wood fiber + hybrid tweeter",47 Hz – 30 kHz,88,4,30–200 W,200,2300 Hz,600,200,310,12.5,Bi-wire,true,Hybrid tweeter detail,2017,homeT,2026-01-24 09:22:10.352909+00
7,DALI,Oberon Vokal,Center,Bass Reflex,"2x 5.25\"" wood fiber + 1\"" tweeter",47 Hz – 26 kHz,89,4,25–150 W,150,2600 Hz,440,160,300,7.5,Single,true,Great value center,2019,homeT,2026-01-24 09:22:10.352909+00
8,KEF,Q650c,Center,Bass Reflex,"2x 6.5\"" + Uni-Q driver",64 Hz – 28 kHz,87,8,15–150 W,150,2500 Hz,630,210,300,13.5,Single,true,Uni-Q coherence,2018,homeT,2026-01-24 09:22:10.352909+00
9,KEF,R2c,Center,Bass Reflex,"2x 5.25\"" + Uni-Q",55 Hz – 28 kHz,87,8,15–200 W,200,2400 Hz,550,175,310,14.0,Bi-wire,true,Reference clarity,2021,homeT,2026-01-24 09:22:10.352909+00
10,Polk Audio,Signature S35,Center,Sealed,"6x 3\"" mid + 1\"" tweeter",53 Hz – 40 kHz,88,8,20–150 W,150,2500 Hz,610,105,140,6.4,Single,true,Slim TV-friendly design,2019,homeT,2026-01-24 09:22:10.352909+00
11,Polk Audio,Reserve R300,Center,Bass Reflex,"2x 5.25\"" + Pinnacle tweeter",58 Hz – 38 kHz,87,8,30–150 W,150,2600 Hz,480,180,320,10.8,Bi-wire,true,High-end Reserve series,2021,homeT,2026-01-24 09:22:10.352909+00
12,ELAC,Debut C6.2,Center,Bass Reflex,"2x 6.5\"" aramid + 1\"" tweeter",55 Hz – 35 kHz,87,8,30–120 W,120,2200 Hz,535,185,300,9.9,Single,true,Andrew Jones design,2018,homeT,2026-01-24 09:22:10.352909+00
13,ELAC,Uni-Fi Center,Center,Bass Reflex,"2x 5.25\"" + concentric driver",48 Hz – 35 kHz,85,4,40–140 W,140,2500 Hz,525,190,300,11.5,Bi-wire,true,Audiophile tuning,2017,homeT,2026-01-24 09:22:10.352909+00
14,Monitor Audio,Bronze C150,Center,Bass Reflex,"2x 5.5\"" C-CAM + tweeter",60 Hz – 30 kHz,88,8,30–120 W,120,2500 Hz,450,170,300,7.8,Single,true,Clean modern sound,2020,homeT,2026-01-24 09:22:10.352909+00
15,Monitor Audio,Silver C250,Center,Bass Reflex,"2x 6\"" C-CAM + tweeter",50 Hz – 35 kHz,90,8,60–200 W,200,2400 Hz,480,185,300,9.8,Bi-wire,true,Silver series clarity,2021,homeT,2026-01-24 09:22:10.352909+00
16,Bowers & Wilkins,HTM6,Center,Bass Reflex,"2x 6.5\"" + Decoupled tweeter",72 Hz – 28 kHz,87,8,30–120 W,120,4000 Hz,480,160,255,8.0,Single,true,Compact B&W sound,2018,homeT,2026-01-24 09:22:10.352909+00
17,Bowers & Wilkins,HTM71 S2,Center,Bass Reflex,"2x 5\"" + Continuum mid",48 Hz – 28 kHz,88,8,30–200 W,200,3500 Hz,480,170,260,9.5,Bi-wire,true,Premium dialogue clarity,2020,homeT,2026-01-24 09:22:10.352909+00
