id,manufacturer,model,connection_type,interface,driver_size_mm,surround,surround_type,microphone,mic_type,mic_pattern,mic_quality,impedance_ohm,frequency_response,weight_g,battery_life_hours,platform_support,target_use,category,notes,created_at,Price
1,Logitech,G Pro X,wired,USB / 3.5mm,50,true,DTS Headphone:X,true,detachable,cardioid,broadcast,35,20Hz–20kHz,320,,PC / PS / Xbox,FPS,pc,"Blue VO!CE microphone, esports classic",2026-02-05 11:07:10.400958+00,39000
2,Logitech,G Pro X Wireless,wireless,2.4GHz dongle,50,true,DTS Headphone:X,true,detachable,cardioid,broadcast,35,20Hz–20kHz,370,20,PC / PS,FPS,pc,Wireless esports headset,2026-02-05 11:07:10.400958+00,51000
3,Logitech,G Pro X 2 Lightspeed,wireless,2.4GHz + Bluetooth,50,true,DTS Headphone:X 2.0,true,detachable,cardioid,broadcast,38,20Hz–20kHz,345,50,PC / PS / Xbox,FPS,pc,"Graphene drivers, multi-device support",2026-02-05 11:07:10.400958+00,86000
4,SteelSeries,Arctis Nova Pro,wired,USB / DAC,40,true,DTS Headphone:X,true,retractable,bidirectional,broadcast,38,10Hz–40kHz,337,,PC / PS / Xbox,FPS,pc,Dual DAC system,2026-02-05 11:07:10.400958+00,83000
5,SteelSeries,Arctis Nova Pro Wireless,wireless,2.4GHz + Bluetooth,40,true,DTS Headphone:X,true,retractable,bidirectional,broadcast,38,10Hz–40kHz,339,44,PC / PS / Xbox,FPS,pc,Hot-swap batteries,2026-02-05 11:07:10.400958+00,107290
6,HyperX,Cloud II,wired,USB / 3.5mm,53,true,Virtual 7.1,true,detachable,noise-cancelling,standard,60,15Hz–25kHz,309,,PC / PS / Xbox,FPS,pc,Legendary comfort,2026-02-05 11:07:10.400958+00,41000
7,HyperX,Cloud Alpha Wireless,wireless,2.4GHz,50,false,,true,detachable,dual chamber,standard,62,15Hz–21kHz,335,300,PC,FPS,pc,Insane battery life,2026-02-05 11:07:10.400958+00,50000
8,Astro,A50 X,wireless,2.4GHz + HDMI base,40,true,Dolby Atmos,true,flip-to-mute,cardioid,broadcast,48,20Hz–20kHz,365,24,PC / PS / Xbox,Competitive,pc,Console switching base,2026-02-05 11:07:10.400958+00,155000
9,EPOS,H6Pro,wired,3.5mm,42,false,,true,detachable,cardioid,broadcast,28,20Hz–20kHz,309,,PC / Console,FPS,pc,Open-back tuning,2026-02-05 11:07:10.400958+00,49000
10,Razer,BlackShark V2 Pro (2023),wireless,2.4GHz,50,true,THX Spatial Audio,true,detachable,supercardioid,broadcast,32,12Hz–28kHz,320,70,PC / PS,FPS,pc,Esports favorite,2026-02-05 11:07:10.400958+00,58000
