id,manufacturer,model,speaker_type,impedance_ohm,sensitivity_db,frequency_response,power_rms_w,power_max_w,drivers,dimensions_mm,weight_kg,mounting,color,recommended_room_size,notes,category,created_at
1,Focal,Chorus V 806V,Rear Speaker,8,91,55Hz – 28kHz,100,150,"2-way, 6.5"" Polyglass woofer + TNV tweeter",225 x 390 x 303,8.5,Stand / Shelf,Black,Medium,Matched to Chorus V series,homeT,2026-01-24 09:25:46.383897+00
2,Focal,Chorus 706,Rear Speaker,8,90,65Hz – 28kHz,100,150,"2-way, 6.5"" woofer",220 x 390 x 300,8.0,Stand,Walnut,Medium,Compact rear speaker,homeT,2026-01-24 09:25:46.383897+00
3,Focal,Aria 906,Rear Speaker,8,89,55Hz – 28kHz,120,180,"2-way, Flax cone",225 x 390 x 280,8.5,Stand,Black High Gloss,Medium,High-end rear imaging,homeT,2026-01-24 09:25:46.383897+00
4,DALI,Oberon 1,Rear Speaker,6,86,51Hz – 26kHz,100,150,"2-way, wood fiber woofer",200 x 274 x 234,4.2,Wall / Stand,White,Small,Excellent wall mounting,homeT,2026-01-24 09:25:46.383897+00
5,DALI,Oberon 3,Rear Speaker,6,87,47Hz – 26kHz,150,180,"2-way, 7"" woofer",200 x 350 x 315,6.3,Stand,Dark Walnut,Medium,Strong rear bass presence,homeT,2026-01-24 09:25:46.383897+00
6,Bowers & Wilkins,606 S2,Rear Speaker,8,88,52Hz – 28kHz,120,180,"2-way, Continuum cone",190 x 345 x 300,6.9,Stand,Black,Medium,Clear rear soundstage,homeT,2026-01-24 09:25:46.383897+00
7,Bowers & Wilkins,607 S2,Rear Speaker,8,84,52Hz – 28kHz,100,150,"2-way, Continuum cone",165 x 300 x 207,4.7,Shelf,White,Small,Compact rear channels,homeT,2026-01-24 09:25:46.383897+00
8,Klipsch,RP-600M,Rear Speaker,8,96,45Hz – 25kHz,100,400,"2-way, horn tweeter",202 x 399 x 301,7.3,Stand,Ebony,Large,Very dynamic rear effects,homeT,2026-01-24 09:25:46.383897+00
9,Klipsch,RP-500M,Rear Speaker,8,93,48Hz – 25kHz,75,300,"2-way, horn tweeter",178 x 338 x 273,5.9,Stand,Walnut,Medium,Cinema-style rear speaker,homeT,2026-01-24 09:25:46.383897+00
10,Monitor Audio,Bronze 50,Rear Speaker,8,87,62Hz – 30kHz,80,120,"2-way, C-CAM driver",166 x 281 x 265,3.1,Wall / Shelf,Black,Small,Compact rear speaker,homeT,2026-01-24 09:25:46.383897+00
